Gene,Coordinates,F4 N2 normalized reads,F4 morc-1(-) normalized reads,Log2(fold change),Adjusted p-value
Y48G9A.7,CHROMOSOME_III:2111789-2112390,5.85,0.00,und,0.0012
F19G12.4,CHROMOSOME_X:1417298-1417697,1.86,0.00,und,0.0046
Y38H6C.24,CHROMOSOME_V:20526421-20526799,1.58,0.00,und,0.0052
ZK430.3,CHROMOSOME_II:4417682-4419131,0.94,0.00,und,0.0316
B0222.7,CHROMOSOME_V:9162027-9162982,14.75,0.55,-4.74,0.0012
W05G11.3,CHROMOSOME_III:41059-42017,27.59,1.27,-4.44,0.0012
T28C6.6,CHROMOSOME_IV:8824800-8826000,4.23,0.28,-3.92,0.0046
R12E2.14,CHROMOSOME_I:4149982-4150639,66.99,6.09,-3.46,0.0046
Y2H9A.3,CHROMOSOME_V:13441952-13443388,27.32,2.73,-3.32,0.0012
C50B6.4,CHROMOSOME_V:13317018-13317997,29.48,2.98,-3.31,0.0012
T06E4.6,CHROMOSOME_V:9629918-9630987,8.62,0.99,-3.12,0.0038
F58F6.1,CHROMOSOME_IV:1353677-1355304,38.91,5.37,-2.86,0.0012
C52D10.13,CHROMOSOME_IV:17182763-17183704,50.98,7.34,-2.80,0.0012
M195.1,CHROMOSOME_II:8358177-8359328,70.36,10.28,-2.77,0.0012
ZK265.2,CHROMOSOME_I:8243686-8244955,25.77,3.79,-2.77,0.0012
C29F4.1,CHROMOSOME_IV:11225482-11226497,79.82,12.23,-2.71,0.0012
Y38C1BA.3,CHROMOSOME_IV:1817043-1820252,9.16,1.42,-2.69,0.0012
C15A11.5,CHROMOSOME_I:7401671-7402753,5.67,0.88,-2.68,0.0012
C44C10.1,CHROMOSOME_X:11711243-11712213,17.99,2.81,-2.68,0.0012
F52B11.4,CHROMOSOME_IV:14098309-14099327,33.41,5.31,-2.65,0.0012
F11G11.12,CHROMOSOME_II:4872092-4873122,54.88,9.05,-2.60,0.0012
Y73B6BL.34,CHROMOSOME_IV:6377082-6378184,54.52,9.41,-2.53,0.0012
Y11D7A.11,CHROMOSOME_IV:9260592-9261750,8.52,1.51,-2.49,0.0038
F15H10.1,CHROMOSOME_V:10423883-10425069,32.46,5.84,-2.47,0.0012
Y47D7A.13,CHROMOSOME_V:4434867-4435913,33.53,6.29,-2.41,0.0012
F30B5.1,CHROMOSOME_IV:4235606-4236699,39.13,7.47,-2.39,0.0012
ZK1010.7,CHROMOSOME_III:12987570-12993603,31.19,5.96,-2.39,0.0012
Y105E8A.13,CHROMOSOME_I:14461128-14465223,5.21,1.06,-2.30,0.0169
K09H9.3,CHROMOSOME_I:3137189-3138448,20.33,4.15,-2.29,0.0012
F22D6.10,CHROMOSOME_I:7105317-7106923,11.57,2.37,-2.29,0.0012
F55C10.2,CHROMOSOME_V:11385341-11386363,5.13,1.11,-2.21,0.0216
T11F9.9,CHROMOSOME_V:11484035-11484980,8.43,1.87,-2.17,0.0084
C35B8.1,CHROMOSOME_X:9233582-9234557,19.04,4.34,-2.13,0.0012
Y49F6B.10,CHROMOSOME_II:3500075-3502452,24.74,5.66,-2.13,0.0012
C03G5.2,CHROMOSOME_X:8541811-8542231,73.68,16.90,-2.12,0.0072
Y57A10A.11,CHROMOSOME_II:12172508-12176007,8.49,1.95,-2.12,0.0012
R12E2.7,CHROMOSOME_I:4153958-4154552,44.12,10.42,-2.08,0.0065
T10E10.2,CHROMOSOME_X:6323260-6324481,7.97,1.92,-2.06,0.0038
R12E2.15,CHROMOSOME_I:4148833-4149431,176.46,42.42,-2.06,0.0031
F41E7.5,CHROMOSOME_X:10304446-10304888,149.50,36.03,-2.05,0.0012
F41F3.3,CHROMOSOME_V:4647646-4648229,188.24,45.81,-2.04,0.0012
F13A7.11,CHROMOSOME_V:16394010-16395057,14.46,3.65,-1.98,0.0012
B0222.6,CHROMOSOME_V:9159618-9160640,4.37,1.12,-1.97,0.0132
K08C9.4,CHROMOSOME_I:11489147-11490550,9.33,2.46,-1.93,0.0052
W09G12.7,CHROMOSOME_IV:1229079-1230795,17.21,4.60,-1.90,0.0012
B0491.2,CHROMOSOME_II:11336626-11337771,15.85,4.29,-1.89,0.0046
Y38E10A.5,CHROMOSOME_II:12578352-12581003,9.13,2.49,-1.87,0.0031
F38A3.2,CHROMOSOME_II:11015528-11016783,61.05,16.83,-1.86,0.0012
B0222.8,CHROMOSOME_V:9164271-9165284,15.63,4.36,-1.84,0.0022
C54C6.1,CHROMOSOME_III:3521132-3529714,459.96,128.54,-1.84,0.0250
Y65B4BR.6,CHROMOSOME_I:572179-575122,17.13,4.82,-1.83,0.0012
F27C1.8,CHROMOSOME_I:5432160-5433059,39.68,11.46,-1.79,0.0012
R09H10.7,CHROMOSOME_IV:10621172-10621671,90.20,26.62,-1.76,0.0065
Y57G11C.45,CHROMOSOME_IV:14783384-14784199,41.30,12.22,-1.76,0.0169
Y38H6C.23,CHROMOSOME_V:20555597-20556207,90.00,26.65,-1.76,0.0012
C02E7.7,CHROMOSOME_V:4918139-4918571,61.25,18.17,-1.75,0.0253
F15E6.4,CHROMOSOME_IV:4291454-4292102,87.24,26.13,-1.74,0.0031
Y38H6C.19,CHROMOSOME_V:20552268-20553022,13.16,4.07,-1.69,0.0137
C01B12.1,CHROMOSOME_II:23327-24457,8.90,2.75,-1.69,0.0169
W02A2.9,CHROMOSOME_IV:13347662-13348551,341.08,106.48,-1.68,0.0281
Y47H10A.5,CHROMOSOME_I:12095725-12097930,41.03,12.96,-1.66,0.0012
C33G8.3,CHROMOSOME_V:7007593-7008321,19.27,6.09,-1.66,0.0156
E01G4.6,CHROMOSOME_II:13482332-13485710,12.84,4.07,-1.66,0.0012
K03H1.3,CHROMOSOME_III:9925469-9926583,9.47,3.02,-1.65,0.0419
T06E4.4,CHROMOSOME_V:9632246-9633313,17.72,5.66,-1.65,0.0038
Y37H2A.14,CHROMOSOME_V:18143709-18144693,73.50,23.49,-1.65,0.0012
C27A7.8,CHROMOSOME_V:12153056-12154635,162.46,51.93,-1.65,0.0012
F53B2.8,CHROMOSOME_IV:12526224-12527317,133.73,42.87,-1.64,0.0012
C54G6.5,CHROMOSOME_I:1016405-1017183,4666.38,1514.90,-1.62,0.0012
T04D3.8,CHROMOSOME_I:13309982-13310704,25.33,8.29,-1.61,0.0147
ZC239.14,CHROMOSOME_II:3221127-3222013,9.23,3.08,-1.58,0.0165
W05B2.1,CHROMOSOME_III:10986726-10987744,11.82,3.97,-1.57,0.0065
F36A4.10,CHROMOSOME_IV:4243540-4244603,14.55,5.03,-1.53,0.0031
B0462.5,CHROMOSOME_V:18322186-18323299,10.47,3.69,-1.50,0.0205
T19C4.7,CHROMOSOME_V:11147325-11147792,50.94,18.01,-1.50,0.0173
F53F1.6,CHROMOSOME_V:13415048-13417591,11.33,4.02,-1.49,0.0084
C49G7.10,CHROMOSOME_V:4040393-4041989,29.07,10.34,-1.49,0.0012
ZC155.3,CHROMOSOME_III:5203649-5206872,30.22,10.88,-1.47,0.0012
D1025.6,CHROMOSOME_X:14523504-14523927,98.18,35.92,-1.45,0.0101
F35E12.9,CHROMOSOME_V:13741307-13745114,20.06,7.35,-1.45,0.0012
Y116F11A.6,CHROMOSOME_V:19727450-19727892,33.74,12.38,-1.45,0.0482
Y105E8A.4,CHROMOSOME_I:14358511-14369760,234.43,86.58,-1.44,0.0160
F40D4.17,CHROMOSOME_V:17154549-17155387,7.00,2.59,-1.44,0.0469
Y51A2D.11,CHROMOSOME_V:18558706-18560278,36.49,13.79,-1.40,0.0022
B0546.1,CHROMOSOME_IV:3385634-3386904,3223.97,1220.94,-1.40,0.0012
T10H4.12,CHROMOSOME_V:15296816-15298659,30.35,11.56,-1.39,0.0012
C02F5.8,CHROMOSOME_III:8237923-8239352,31.34,11.97,-1.39,0.0012
C54C8.9,CHROMOSOME_I:12461634-12462087,26.37,10.11,-1.38,0.0284
C04C3.5,CHROMOSOME_IV:3396577-3399120,7.13,2.75,-1.38,0.0404
C25F9.14,CHROMOSOME_V:19436569-19437188,11.75,4.53,-1.38,0.0306
C54D10.13,CHROMOSOME_V:12431348-12433798,12.21,4.77,-1.36,0.0230
C54E10.5,CHROMOSOME_V:18796041-18800793,2.68,1.06,-1.34,0.0395
K12C11.6,CHROMOSOME_I:1337021-1338122,46.92,18.71,-1.33,0.0117
C50F4.9,CHROMOSOME_V:9523144-9524177,17.81,7.12,-1.32,0.0474
F15G9.1,CHROMOSOME_X:9705585-9708507,230.62,92.96,-1.31,0.0012
D1025.4,CHROMOSOME_X:14529714-14530139,175.94,70.96,-1.31,0.0052
R09A1.3,CHROMOSOME_V:1023782-1027066,20.80,8.41,-1.31,0.0052
Y48G9A.11,CHROMOSOME_III:2112403-2116887,6.23,2.52,-1.30,0.0160
Y119D3B.21,CHROMOSOME_III:1214943-1215279,2608.18,1058.09,-1.30,0.0012
M02H5.8,CHROMOSOME_V:449741-450442,447.56,181.59,-1.30,0.0012
F22H10.3,CHROMOSOME_X:16677262-16677665,903.53,367.78,-1.30,0.0012
Y41G9A.5,CHROMOSOME_X:2946656-2949125,4.46,1.82,-1.29,0.0322
F36G9.12,CHROMOSOME_V:15978695-15982834,5.63,2.33,-1.28,0.0151
T10D4.13,CHROMOSOME_II:3126034-3126444,782.58,323.49,-1.27,0.0012
F21H7.1,CHROMOSOME_V:16230138-16232262,40.80,16.93,-1.27,0.0022
F36F12.8,CHROMOSOME_V:2090138-2095112,4.95,2.06,-1.27,0.0294
Y48A6B.7,CHROMOSOME_III:11012466-11026467,102.54,42.65,-1.27,0.0022
H23L24.5,CHROMOSOME_IV:8712399-8715014,2.08,0.87,-1.25,0.0438
C34D1.5,CHROMOSOME_V:13264531-13269849,20.14,8.47,-1.25,0.0084
C17H12.8,CHROMOSOME_IV:6818594-6820632,163.80,68.97,-1.25,0.0012
Y45F10C.2,CHROMOSOME_IV:13662090-13662646,165.39,70.15,-1.24,0.0012
C02F5.11,CHROMOSOME_III:8236845-8237822,20.55,8.72,-1.24,0.0151
F28F5.6,CHROMOSOME_III:6817188-6819319,36.40,15.66,-1.22,0.0046
F57B1.3,CHROMOSOME_V:13198215-13199301,73.75,31.74,-1.22,0.0012
T07H6.3,CHROMOSOME_X:6279638-6280983,25.26,10.88,-1.22,0.0038
Y55F3AM.11,CHROMOSOME_IV:1038668-1041008,5.55,2.39,-1.21,0.0444
K08B4.6,CHROMOSOME_IV:6092586-6093636,1678.63,728.32,-1.20,0.0012
Y41G9A.10,CHROMOSOME_X:2945792-2946560,26.42,11.49,-1.20,0.0141
C08F11.12,CHROMOSOME_IV:13650635-13651487,472.15,205.58,-1.20,0.0012
Y75B8A.28,CHROMOSOME_III:12319006-12323767,23.00,10.02,-1.20,0.0012
ZK180.5,CHROMOSOME_IV:4515031-4517162,8.56,3.75,-1.19,0.0347
Y58A7A.5,CHROMOSOME_V:5085870-5087106,15.47,6.78,-1.19,0.0117
T23F11.6,CHROMOSOME_III:4646472-4647862,20.22,8.87,-1.19,0.0277
C49G7.7,CHROMOSOME_V:4034460-4038039,4.17,1.83,-1.19,0.0361
T26H5.9,CHROMOSOME_V:15444891-15445354,629.75,277.33,-1.18,0.0012
